,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Brooks Hyperion Max,Women's Shoes - Pink/Cobalt/Blissful, $169.95 ," Technologies  MIDSOLEDNA FLASH nitrogen-infused foam provides excellent energy return with every stride.Rapid Roll Technology is the rocker shaped geometry of the shoe that promotes fast transitions.OUTSOLEGreen Rubber is durable with grippy traction.UPPEREngineered Woven material is lightweight, breathable, and structured to provide a dialed in fit that seamlessly secures the foot.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Hyperion_Max/descpage-BHPM1W3.html
1,Brooks Ghost 15,Women's Shoes - White/Ebony/Oyster, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15WB.html
2,Brooks Hyperion Tempo,Women's Shoes - Blue/Phantom/Cosmo, $99.95 $150.00* , Technologies  MIDSOLEDNA FLASH midsole compound is nitrogen-infused to offer lightweight cushion and adaptive energy return.OUTSOLEStrategic Rubber used in high wear areas to protect the lightweight midsole compound.UPPERFeatherweight stretch woven mesh upper offers a secure fit.  ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Hyperion_Tempo/descpage-BHPT1WC.html
3,Brooks Cascadia 16,Women's Shoes - Blue/Black/Yellow, $99.95 $130.00* ," Technologies  MIDSOLEDNA Loft v2 foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Release Grooves System allows for enhanced adaptability to a variety of terrain.Ballistic Rock Shield is a thermoplastic EVA sheath layered between the outsole and midsole for protection against stone-bruising.OUTSOLETrailTrak rubber outsole provides confidence-inspiring, sticky traction in dry and wet conditions.Multidirectional Lug Pattern on the outsole provides excellent traction on a variety of terrain, with updated patterns for improved grip.UPPEREngineered Monoloop Mesh offers increased breathability and faster drying.Gusseted tongue helps keep debris out.Lace Guard keeps laces stowed away while running.Gaiter Tab and Connection Point allow for easy and secure gaiter attachment.Drainage ports allow for easy water escape  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Cascadia_16/descpage-BRC16W7.html
4,Brooks Glycerin 20,Women's Shoes - Pink/Yellow/White, $159.95 ," Technologies  MIDSOLEDNA Loft v3 nitrogen-infused foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves enhance midsole flexibility without compromising cushioning.OUTSOLEBlown Rubber in the forefoot offers durability, responsiveness, and flexibility.UPPEREngineered Air Mesh provides a secure fit and comfortable hold3D Fit Print saddle applies strategic overlays to provide a seamless and secure fit.Plush interior lining surrounds your foot and moves and expands with your stride.OrthoLite sock liner provides premium step-in comfort.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Glycerin_20/descpage-BGL20WA.html
5,Brooks Adrenaline GTS 22,Women's Shoes - Kentucky Blue/Wh, $119.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam from heel to toe delivers plush and luxurious cushioning while maintaining responsiveness and durability.Guide Rails HolisticSupport System helps to protect your knees by keeping excess movement in check.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPEREngineered 3D Fit Print mesh is simple and strong. Heel Counter is updated to create a more comfortable and secure heel fit.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Max</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Adrenaline_GTS_22/descpage-BAG22WB.html
6,Brooks Ghost 15,Women's Shoes - White/Ebony/Oyster, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15WB.html
7,Brooks Ghost 15,Women's Shoes - Ebony/Black/Oyster, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15WC.html
8,Brooks Ghost 15,Women's Shoes - Peacoat/Pearl/Salt Air, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15W1.html
9,Brooks Ghost 15,Women's Shoes - Spa Blue/Neo Pink/Copper, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15W2.html
10,Brooks Ghost 15,Women's Shoes - Oyster/Alloy/White, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15W3.html
11,Brooks Ghost 15,Women's Shoes - Black/Blue/Aruba, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15W4.html
12,Brooks Ghost 15,Women's Shoes - Black/Blackened Pearl/Wht, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15W5.html
13,Brooks Ghost 15,Women's Shoes - Black/Black/Ebony, $139.95 ," Technologies  MIDSOLEDNA Loft v2 midsole provides plush cushioning in a lighter-weight package.OUTSOLESegmented Crash Pad is a system of fully-integrated shock absorbers that accommodate any foot strike and works to provide cushion and create smooth heel-to-toe transitions. UPPERRefined 3D Fit Print mesh enhances secure fit and provides comfort and breathability.Recycled Materials include: 90% recycled content vamp mesh, 86% recycled content tongue mesh, 87% recycled content tongue and collar lining, and 100% recycled content materials used for the lace, sockliner top cloth, and all the textile reinforcements  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_15/descpage-BGH15W6.html
14,Brooks Ghost 14,Women's Shoes - Peacoat/Yucca/Navy, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPER3D Fit Print mesh comprises the upper, providing lightweight structure and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BGH14W2.html
15,Brooks Ghost 14,Women's Shoes - Black/Pink/Yucca, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPER3D Fit Print mesh comprises the upper, providing lightweight structure and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BGH14W1.html
16,Brooks Ghost 14,Women's Shoes - MU White/Black/Blue Light, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPERKnit Upper is more form-fitting and breathable.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BG14W03.html
17,Brooks Ghost 14,Women's Shoes - Fuschia/Yucca/Navy, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPER3D Fit Print mesh comprises the upper, providing lightweight structure and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BGH14W7.html
18,Brooks Ghost 14,Women's Shoes - White/Purple/Coral, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPER3D Fit Print mesh comprises the upper, providing lightweight structure and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BGH14W6.html
19,Brooks Ghost 14,Women's Shoes - Black/Black, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPER3D Fit Print mesh comprises the upper, providing lightweight structure and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BGH14W4.html
20,Brooks Ghost 14,Women's Shoes - MU Lilac/Purple/Lime, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPERKnit Upper is more form-fitting and breathable.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BG14W04.html
21,Brooks Ghost 14,Women's Shoes - Oyster/Yucca/Pink, $99.95 $140.00* ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPER3D Fit Print mesh comprises the upper, providing lightweight structure and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14/descpage-BGH14W5.html
22,Brooks Ghost 14 GTX,Women's Shoes - Black/Pearl/Aquaglass, $159.95 ," Technologies  MIDSOLEDNA Loft foam delivers plush and luxurious cushioning while maintaining responsiveness and durability.Omega Flex Grooves optimize forefoot flexibility without compromising cushioning.Segmented crash pad flexes with the foot, offering customized cushioning and stability for a smooth heel-to-toe transition.OUTSOLEBlown Rubber offers durability, responsiveness, and flexibility.UPPERGORE-TEX (GTX) Invisible Fit liner provides breathable protection from wet and muddy conditions while maintaining optimal comfort.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Ghost_14_GTX/descpage-BGX14W1.html
23,Brooks Hyperion Tempo,Women's Shoes - Coral/Cosmo/Phantom, $99.95 $150.00* , Technologies  MIDSOLEDNA FLASH midsole compound is nitrogen-infused to offer lightweight cushion and adaptive energy return.OUTSOLEStrategic Rubber used in high wear areas to protect the lightweight midsole compound.UPPERFeatherweight stretch woven mesh upper offers a secure fit.  ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>]",https://www.runningwarehouse.com/Brooks_Hyperion_Tempo/descpage-BHPT1WD.html
